timestamp_utc,city,temp,humidity,description
2026-07-06T05:15:03.369452+00:00,Istanbul,22.31,57,clear sky
2026-07-06T05:15:03.369452+00:00,Ankara,18.45,67,overcast clouds
2026-07-06T05:15:03.369452+00:00,İzmir,26.29,55,clear sky
2026-07-06T05:15:03.369452+00:00,Berlin,14.45,78,overcast clouds
2026-07-06T05:15:03.369452+00:00,London,17.89,78,broken clouds
2026-07-06T10:44:57.518543+00:00,Istanbul,25.75,47,clear sky
2026-07-06T10:44:57.518543+00:00,Ankara,25.67,44,scattered clouds
2026-07-06T10:44:57.518543+00:00,İzmir,31.29,14,clear sky
2026-07-06T10:44:57.518543+00:00,Berlin,16.78,88,light rain
2026-07-06T10:44:57.518543+00:00,London,28.87,40,scattered clouds
2026-07-06T14:28:59.606530+00:00,Istanbul,26.4,44,clear sky
2026-07-06T14:28:59.606530+00:00,Ankara,24.56,46,scattered clouds
2026-07-06T14:28:59.606530+00:00,İzmir,33.51,12,clear sky
2026-07-06T14:28:59.606530+00:00,Berlin,18.37,93,overcast clouds
2026-07-06T14:28:59.606530+00:00,London,32.21,26,scattered clouds
2026-07-06T17:46:14.208526+00:00,Istanbul,25.69,49,clear sky
2026-07-06T17:46:14.208526+00:00,Ankara,23.45,46,broken clouds
2026-07-06T17:46:14.208526+00:00,İzmir,29.62,44,clear sky
2026-07-06T17:46:14.208526+00:00,Berlin,18.56,91,overcast clouds
2026-07-06T17:46:14.208526+00:00,London,29.87,26,scattered clouds
2026-07-06T20:03:03.807244+00:00,Istanbul,22.73,100,clear sky
2026-07-06T20:03:03.807244+00:00,Ankara,21.23,52,clear sky
2026-07-06T20:03:03.807244+00:00,İzmir,26.29,35,clear sky
